filename,width,height,class,xmin,ymin,xmax,ymax
GOPR6581_JPG.rf.00f85a32ec92582f7f716c40bced2999.jpg,640,480,occupied,396,156,423,179
GOPR6581_JPG.rf.00f85a32ec92582f7f716c40bced2999.jpg,640,480,occupied,373,162,406,186
GOPR6581_JPG.rf.00f85a32ec92582f7f716c40bced2999.jpg,640,480,occupied,341,167,384,202
GOPR6581_JPG.rf.00f85a32ec92582f7f716c40bced2999.jpg,640,480,occupied,516,213,566,248
GOPR6581_JPG.rf.00f85a32ec92582f7f716c40bced2999.jpg,640,480,occupied,471,218,524,245
GOPR6581_JPG.rf.00f85a32ec92582f7f716c40bced2999.jpg,640,480,occupied,468,237,508,262
GOPR6581_JPG.rf.00f85a32ec92582f7f716c40bced2999.jpg,640,480,occupied,5,243,48,300
GOPR6581_JPG.rf.00f85a32ec92582f7f716c40bced2999.jpg,640,480,occupied,449,255,526,297
GOPR6581_JPG.rf.00f85a32ec92582f7f716c40bced2999.jpg,640,480,free,428,281,493,326
GOPR6581_JPG.rf.00f85a32ec92582f7f716c40bced2999.jpg,640,480,occupied,387,295,468,372
GOPR6581_JPG.rf.00f85a32ec92582f7f716c40bced2999.jpg,640,480,occupied,314,325,414,422
GOPR6581_JPG.rf.00f85a32ec92582f7f716c40bced2999.jpg,640,480,free,256,372,346,462
GOPR6581_JPG.rf.00f85a32ec92582f7f716c40bced2999.jpg,640,480,free,174,407,265,479
GOPR6581_JPG.rf.00f85a32ec92582f7f716c40bced2999.jpg,640,480,free,81,439,164,479
parking2_mp4-8_jpg.rf.02a91df896564f816f7eefac08083454.jpg,640,480,occupied,98,161,210,243
parking2_mp4-8_jpg.rf.02a91df896564f816f7eefac08083454.jpg,640,480,occupied,5,201,103,288
GOPR6747_JPG.rf.069d931479a047e12afb3bc1dec9f5b3.jpg,640,480,occupied,237,141,300,185
GOPR6747_JPG.rf.069d931479a047e12afb3bc1dec9f5b3.jpg,640,480,occupied,475,158,538,192
GOPR6747_JPG.rf.069d931479a047e12afb3bc1dec9f5b3.jpg,640,480,occupied,198,160,268,211
GOPR6747_JPG.rf.069d931479a047e12afb3bc1dec9f5b3.jpg,640,480,occupied,457,169,516,211
GOPR6747_JPG.rf.069d931479a047e12afb3bc1dec9f5b3.jpg,640,480,free,50,185,98,205
GOPR6747_JPG.rf.069d931479a047e12afb3bc1dec9f5b3.jpg,640,480,occupied,440,194,523,241
GOPR6747_JPG.rf.069d931479a047e12afb3bc1dec9f5b3.jpg,640,480,occupied,155,188,238,248
GOPR6747_JPG.rf.069d931479a047e12afb3bc1dec9f5b3.jpg,640,480,free,38,210,86,233
GOPR6747_JPG.rf.069d931479a047e12afb3bc1dec9f5b3.jpg,640,480,free,20,237,72,265
GOPR6747_JPG.rf.069d931479a047e12afb3bc1dec9f5b3.jpg,640,480,occupied,416,226,529,297
GOPR6747_JPG.rf.069d931479a047e12afb3bc1dec9f5b3.jpg,640,480,free,121,232,193,302
GOPR6747_JPG.rf.069d931479a047e12afb3bc1dec9f5b3.jpg,640,480,free,1,271,57,308
GOPR6747_JPG.rf.069d931479a047e12afb3bc1dec9f5b3.jpg,640,480,free,423,269,502,321
GOPR6747_JPG.rf.069d931479a047e12afb3bc1dec9f5b3.jpg,640,480,free,81,266,142,349
GOPR6747_JPG.rf.069d931479a047e12afb3bc1dec9f5b3.jpg,640,480,free,43,298,97,392
GOPR6747_JPG.rf.069d931479a047e12afb3bc1dec9f5b3.jpg,640,480,occupied,380,302,531,397
GOPR6747_JPG.rf.069d931479a047e12afb3bc1dec9f5b3.jpg,640,480,free,340,383,452,463
GOPR6747_JPG.rf.069d931479a047e12afb3bc1dec9f5b3.jpg,640,480,free,268,110,300,144
GOPR6747_JPG.rf.069d931479a047e12afb3bc1dec9f5b3.jpg,640,480,occupied,231,109,259,148
GOPR6747_JPG.rf.069d931479a047e12afb3bc1dec9f5b3.jpg,640,480,occupied,306,111,335,148
GOPR6747_JPG.rf.069d931479a047e12afb3bc1dec9f5b3.jpg,640,480,free,198,119,225,157
GOPR6747_JPG.rf.069d931479a047e12afb3bc1dec9f5b3.jpg,640,480,occupied,165,119,193,160
GOPR6747_JPG.rf.069d931479a047e12afb3bc1dec9f5b3.jpg,640,480,occupied,485,135,534,161
GOPR6747_JPG.rf.069d931479a047e12afb3bc1dec9f5b3.jpg,640,480,occupied,104,131,138,174
GOPR6747_JPG.rf.069d931479a047e12afb3bc1dec9f5b3.jpg,640,480,free,136,134,157,171
GOPR6747_JPG.rf.069d931479a047e12afb3bc1dec9f5b3.jpg,640,480,occupied,461,146,505,167
GOPR6628_JPG.rf.007448836fe9b366f0bc929faa99a4e9.jpg,640,480,free,352,151,410,176
GOPR6628_JPG.rf.007448836fe9b366f0bc929faa99a4e9.jpg,640,480,free,446,155,495,174
GOPR6628_JPG.rf.007448836fe9b366f0bc929faa99a4e9.jpg,640,480,free,151,160,202,184
GOPR6628_JPG.rf.007448836fe9b366f0bc929faa99a4e9.jpg,640,480,free,77,159,113,186
GOPR6628_JPG.rf.007448836fe9b366f0bc929faa99a4e9.jpg,640,480,free,337,159,405,194
GOPR6628_JPG.rf.007448836fe9b366f0bc929faa99a4e9.jpg,640,480,free,438,174,494,196
GOPR6628_JPG.rf.007448836fe9b366f0bc929faa99a4e9.jpg,640,480,occupied,102,167,164,208
GOPR6628_JPG.rf.007448836fe9b366f0bc929faa99a4e9.jpg,640,480,free,56,175,101,208
GOPR6628_JPG.rf.007448836fe9b366f0bc929faa99a4e9.jpg,640,480,free,310,174,397,225
GOPR6628_JPG.rf.007448836fe9b366f0bc929faa99a4e9.jpg,640,480,free,421,182,493,217
GOPR6628_JPG.rf.007448836fe9b366f0bc929faa99a4e9.jpg,640,480,occupied,11,182,66,237
GOPR6628_JPG.rf.007448836fe9b366f0bc929faa99a4e9.jpg,640,480,free,285,190,372,237
GOPR6628_JPG.rf.007448836fe9b366f0bc929faa99a4e9.jpg,640,480,free,414,205,502,229
GOPR6628_JPG.rf.007448836fe9b366f0bc929faa99a4e9.jpg,640,480,free,77,201,132,234
GOPR6628_JPG.rf.007448836fe9b366f0bc929faa99a4e9.jpg,640,480,occupied,233,200,356,279
GOPR6628_JPG.rf.007448836fe9b366f0bc929faa99a4e9.jpg,640,480,free,40,240,105,268
GOPR6628_JPG.rf.007448836fe9b366f0bc929faa99a4e9.jpg,640,480,occupied,390,217,498,297
GOPR6628_JPG.rf.007448836fe9b366f0bc929faa99a4e9.jpg,640,480,occupied,0,239,48,304
GOPR6628_JPG.rf.007448836fe9b366f0bc929faa99a4e9.jpg,640,480,occupied,164,241,277,304
GOPR6628_JPG.rf.007448836fe9b366f0bc929faa99a4e9.jpg,640,480,free,354,289,473,348
GOPR6628_JPG.rf.007448836fe9b366f0bc929faa99a4e9.jpg,640,480,free,120,337,254,423
GOPR6628_JPG.rf.007448836fe9b366f0bc929faa99a4e9.jpg,640,480,free,303,342,451,425
GOPR6628_JPG.rf.007448836fe9b366f0bc929faa99a4e9.jpg,640,480,free,58,376,215,469
GOPR6628_JPG.rf.007448836fe9b366f0bc929faa99a4e9.jpg,640,480,occupied,2,406,97,479
GOPR6628_JPG.rf.007448836fe9b366f0bc929faa99a4e9.jpg,640,480,free,264,423,437,479
GOPR6628_JPG.rf.007448836fe9b366f0bc929faa99a4e9.jpg,640,480,occupied,193,114,247,143
GOPR6628_JPG.rf.007448836fe9b366f0bc929faa99a4e9.jpg,640,480,occupied,376,116,436,157
GOPR6628_JPG.rf.007448836fe9b366f0bc929faa99a4e9.jpg,640,480,occupied,442,117,508,167
GOPR6628_JPG.rf.007448836fe9b366f0bc929faa99a4e9.jpg,640,480,occupied,165,130,219,162
GOPR6628_JPG.rf.007448836fe9b366f0bc929faa99a4e9.jpg,640,480,free,108,145,148,166
parking3_mp4-28_jpg.rf.097b1b8f86181d9362f0fd42b266f906.jpg,640,512,occupied,521,93,620,226
parking3_mp4-28_jpg.rf.097b1b8f86181d9362f0fd42b266f906.jpg,640,512,occupied,2,148,96,353
parking3_mp4-28_jpg.rf.097b1b8f86181d9362f0fd42b266f906.jpg,640,512,free,171,279,311,440
parking3_mp4-28_jpg.rf.097b1b8f86181d9362f0fd42b266f906.jpg,640,512,free,370,289,530,476
parking3_mp4-28_jpg.rf.097b1b8f86181d9362f0fd42b266f906.jpg,640,512,occupied,76,33,152,109
parking3_mp4-28_jpg.rf.097b1b8f86181d9362f0fd42b266f906.jpg,640,512,occupied,177,26,267,120
parking3_mp4-28_jpg.rf.097b1b8f86181d9362f0fd42b266f906.jpg,640,512,occupied,3,49,65,126
parking3_mp4-28_jpg.rf.097b1b8f86181d9362f0fd42b266f906.jpg,640,512,occupied,357,51,455,139
parking3_mp4-28_jpg.rf.097b1b8f86181d9362f0fd42b266f906.jpg,640,512,free,275,63,345,140
parking3_mp4-195_jpg.rf.15624042e426f0112ad0c5d6eec8e05d.jpg,640,512,free,503,100,592,198
parking3_mp4-195_jpg.rf.15624042e426f0112ad0c5d6eec8e05d.jpg,640,512,occupied,0,157,95,375
parking3_mp4-195_jpg.rf.15624042e426f0112ad0c5d6eec8e05d.jpg,640,512,free,164,259,304,445
parking3_mp4-195_jpg.rf.15624042e426f0112ad0c5d6eec8e05d.jpg,640,512,free,373,286,525,477
parking3_mp4-195_jpg.rf.15624042e426f0112ad0c5d6eec8e05d.jpg,640,512,occupied,71,36,161,110
parking3_mp4-195_jpg.rf.15624042e426f0112ad0c5d6eec8e05d.jpg,640,512,occupied,174,31,265,121
parking3_mp4-195_jpg.rf.15624042e426f0112ad0c5d6eec8e05d.jpg,640,512,occupied,0,49,64,134
parking3_mp4-195_jpg.rf.15624042e426f0112ad0c5d6eec8e05d.jpg,640,512,occupied,367,44,464,149
carpark_mp4-26_jpg.rf.0d56b442358111bb8509adb1c30f0778.jpg,640,360,free,303,227,319,241
carpark_mp4-26_jpg.rf.0d56b442358111bb8509adb1c30f0778.jpg,640,360,free,358,229,378,242
carpark_mp4-26_jpg.rf.0d56b442358111bb8509adb1c30f0778.jpg,640,360,free,386,229,407,242
carpark_mp4-26_jpg.rf.0d56b442358111bb8509adb1c30f0778.jpg,640,360,free,276,230,294,243
carpark_mp4-26_jpg.rf.0d56b442358111bb8509adb1c30f0778.jpg,640,360,free,331,229,350,243
carpark_mp4-26_jpg.rf.0d56b442358111bb8509adb1c30f0778.jpg,640,360,free,185,230,206,243
carpark_mp4-26_jpg.rf.0d56b442358111bb8509adb1c30f0778.jpg,640,360,free,217,232,237,244
carpark_mp4-26_jpg.rf.0d56b442358111bb8509adb1c30f0778.jpg,640,360,free,249,232,267,244
carpark_mp4-26_jpg.rf.0d56b442358111bb8509adb1c30f0778.jpg,640,360,free,419,234,442,242
carpark_mp4-26_jpg.rf.0d56b442358111bb8509adb1c30f0778.jpg,640,360,free,208,241,233,258
carpark_mp4-26_jpg.rf.0d56b442358111bb8509adb1c30f0778.jpg,640,360,free,271,241,296,259
carpark_mp4-26_jpg.rf.0d56b442358111bb8509adb1c30f0778.jpg,640,360,free,304,243,326,258
carpark_mp4-26_jpg.rf.0d56b442358111bb8509adb1c30f0778.jpg,640,360,free,244,244,265,258
carpark_mp4-26_jpg.rf.0d56b442358111bb8509adb1c30f0778.jpg,640,360,free,339,244,363,258
carpark_mp4-26_jpg.rf.0d56b442358111bb8509adb1c30f0778.jpg,640,360,free,177,242,201,260
carpark_mp4-26_jpg.rf.0d56b442358111bb8509adb1c30f0778.jpg,640,360,free,372,244,394,258
carpark_mp4-26_jpg.rf.0d56b442358111bb8509adb1c30f0778.jpg,640,360,free,442,245,466,263
carpark_mp4-26_jpg.rf.0d56b442358111bb8509adb1c30f0778.jpg,640,360,occupied,555,243,597,288
carpark_mp4-26_jpg.rf.0d56b442358111bb8509adb1c30f0778.jpg,640,360,occupied,399,243,442,287
carpark_mp4-26_jpg.rf.0d56b442358111bb8509adb1c30f0778.jpg,640,360,free,177,261,203,278
carpark_mp4-26_jpg.rf.0d56b442358111bb8509adb1c30f0778.jpg,640,360,free,119,261,144,283
carpark_mp4-26_jpg.rf.0d56b442358111bb8509adb1c30f0778.jpg,640,360,free,262,262,299,284
carpark_mp4-26_jpg.rf.0d56b442358111bb8509adb1c30f0778.jpg,640,360,free,212,260,248,287
carpark_mp4-26_jpg.rf.0d56b442358111bb8509adb1c30f0778.jpg,640,360,occupied,133,261,192,310
carpark_mp4-26_jpg.rf.0d56b442358111bb8509adb1c30f0778.jpg,640,360,occupied,363,265,404,307
carpark_mp4-26_jpg.rf.0d56b442358111bb8509adb1c30f0778.jpg,640,360,occupied,309,263,352,310
carpark_mp4-26_jpg.rf.0d56b442358111bb8509adb1c30f0778.jpg,640,360,occupied,471,263,521,312
carpark_mp4-26_jpg.rf.0d56b442358111bb8509adb1c30f0778.jpg,640,360,free,593,278,631,310
carpark_mp4-26_jpg.rf.0d56b442358111bb8509adb1c30f0778.jpg,640,360,free,548,278,586,314
carpark_mp4-26_jpg.rf.0d56b442358111bb8509adb1c30f0778.jpg,640,360,free,83,285,117,313
carpark_mp4-26_jpg.rf.0d56b442358111bb8509adb1c30f0778.jpg,640,360,free,249,283,300,317
carpark_mp4-26_jpg.rf.0d56b442358111bb8509adb1c30f0778.jpg,640,360,free,427,289,472,320
carpark_mp4-26_jpg.rf.0d56b442358111bb8509adb1c30f0778.jpg,640,360,free,197,287,241,322
carpark_mp4-26_jpg.rf.0d56b442358111bb8509adb1c30f0778.jpg,640,360,occupied,575,317,639,359
carpark_mp4-26_jpg.rf.0d56b442358111bb8509adb1c30f0778.jpg,640,360,occupied,265,329,331,360
parking_lot_1_mp4-43_jpg.rf.02733e61e6da461d420be2cd0e53bf7e.jpg,640,360,occupied,255,176,287,201
parking_lot_1_mp4-43_jpg.rf.02733e61e6da461d420be2cd0e53bf7e.jpg,640,360,free,325,182,346,198
parking_lot_1_mp4-43_jpg.rf.02733e61e6da461d420be2cd0e53bf7e.jpg,640,360,free,358,182,382,199
parking_lot_1_mp4-43_jpg.rf.02733e61e6da461d420be2cd0e53bf7e.jpg,640,360,free,292,187,315,203
parking_lot_1_mp4-43_jpg.rf.02733e61e6da461d420be2cd0e53bf7e.jpg,640,360,occupied,190,186,219,207
parking_lot_1_mp4-43_jpg.rf.02733e61e6da461d420be2cd0e53bf7e.jpg,640,360,occupied,116,186,148,208
parking_lot_1_mp4-43_jpg.rf.02733e61e6da461d420be2cd0e53bf7e.jpg,640,360,occupied,426,186,461,210
parking_lot_1_mp4-43_jpg.rf.02733e61e6da461d420be2cd0e53bf7e.jpg,640,360,occupied,86,187,111,210
parking_lot_1_mp4-43_jpg.rf.02733e61e6da461d420be2cd0e53bf7e.jpg,640,360,free,225,191,251,207
parking_lot_1_mp4-43_jpg.rf.02733e61e6da461d420be2cd0e53bf7e.jpg,640,360,occupied,45,188,75,211
parking_lot_1_mp4-43_jpg.rf.02733e61e6da461d420be2cd0e53bf7e.jpg,640,360,free,156,192,179,210
parking_lot_1_mp4-43_jpg.rf.02733e61e6da461d420be2cd0e53bf7e.jpg,640,360,occupied,468,189,501,217
parking_lot_1_mp4-43_jpg.rf.02733e61e6da461d420be2cd0e53bf7e.jpg,640,360,free,15,194,40,213
parking_lot_1_mp4-43_jpg.rf.02733e61e6da461d420be2cd0e53bf7e.jpg,640,360,occupied,346,194,379,223
parking_lot_1_mp4-43_jpg.rf.02733e61e6da461d420be2cd0e53bf7e.jpg,640,360,free,403,201,424,215
parking_lot_1_mp4-43_jpg.rf.02733e61e6da461d420be2cd0e53bf7e.jpg,640,360,free,376,205,400,220
parking_lot_1_mp4-43_jpg.rf.02733e61e6da461d420be2cd0e53bf7e.jpg,640,360,occupied,303,199,337,228
parking_lot_1_mp4-43_jpg.rf.02733e61e6da461d420be2cd0e53bf7e.jpg,640,360,occupied,213,208,246,228
parking_lot_1_mp4-43_jpg.rf.02733e61e6da461d420be2cd0e53bf7e.jpg,640,360,free,164,217,194,232
parking_lot_1_mp4-43_jpg.rf.02733e61e6da461d420be2cd0e53bf7e.jpg,640,360,occupied,124,217,157,234
parking_lot_1_mp4-43_jpg.rf.02733e61e6da461d420be2cd0e53bf7e.jpg,640,360,occupied,28,214,61,236
parking_lot_1_mp4-43_jpg.rf.02733e61e6da461d420be2cd0e53bf7e.jpg,640,360,occupied,508,213,551,243
parking_lot_1_mp4-43_jpg.rf.02733e61e6da461d420be2cd0e53bf7e.jpg,640,360,free,268,218,297,241
parking_lot_1_mp4-43_jpg.rf.02733e61e6da461d420be2cd0e53bf7e.jpg,640,360,free,76,222,107,237
